,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,0,ZA,1563761688,54,-34.42,19.24,57.0,11.99
1,Jackville,40,CI,1563761690,94,5.21,-4.42,77.0,6.93
2,Vaini,75,IN,1563761546,94,15.34,74.49,71.6,6.93
3,Torbay,90,CA,1563761692,100,47.66,-52.73,52.0,17.22
4,Marquette,5,US,1563761716,71,46.54,-87.4,57.2,4.7
5,Mao,40,DO,1563761718,88,19.55,-71.08,82.4,4.7
6,Rikitea,32,PF,1563761550,76,-23.12,-134.97,68.15,19.42
7,Avarua,60,CK,1563761518,83,-21.21,-159.78,78.8,12.75
8,Kamenka,6,MD,1563761721,90,48.03,28.7,60.01,2.71
9,Puerto Ayora,32,EC,1563761646,93,-0.74,-90.35,70.0,3.0
10,Portland,90,US,1563761604,65,43.66,-70.25,80.01,4.7
11,Ketchikan,20,US,1563761725,52,55.34,-131.65,68.0,13.87
12,Tiksi,5,RU,1563761727,71,71.64,128.87,39.89,10.27
13,Pevek,100,RU,1563761728,95,69.7,170.27,33.59,21.54
14,Hay River,40,CA,1563761729,27,60.82,-115.79,86.0,8.05
15,Punta Arenas,75,CL,1563761521,83,-53.16,-70.91,35.6,14.99
16,Mataura,65,NZ,1563761572,97,-46.19,168.86,50.0,5.01
17,Barrow,100,AR,1563761736,42,-38.31,-60.23,46.55,7.83
18,Abu Samrah,0,SY,1563761738,59,35.3,37.18,70.67,8.95
19,Kardla,0,EE,1563761742,87,58.44,26.57,60.01,2.24
20,Petropavlovsk-Kamchatskiy,20,RU,1563761600,56,53.05,158.65,71.6,2.24
21,Bodhan,0,IN,1563761744,74,18.65,77.89,82.19,7.99
22,Atuona,48,PF,1563761373,78,-9.8,-139.03,80.03,12.41
23,Maniitsoq,100,GL,1563761747,93,65.42,-52.9,44.39,8.28
24,Marzuq,100,YE,1563761748,38,14.4,46.47,77.15,6.33
25,Bambous Virieux,20,MU,1563761749,88,-20.34,57.76,68.0,5.82
26,Palmer,0,AU,1563761554,44,-34.85,139.16,62.01,21.92
27,Katsuura,75,JP,1563761752,94,33.93,134.5,87.01,10.29
28,Nuuk,100,GL,1563761756,93,64.17,-51.74,44.01,2.24
29,Jamestown,0,AU,1563761757,42,-33.21,138.6,59.15,25.52
30,Busselton,100,AU,1563761549,51,-33.64,115.35,59.0,17.13
31,Port Alfred,0,ZA,1563761643,35,-33.59,26.89,57.0,7.0
32,Rawson,0,AR,1563761764,68,-43.3,-65.11,38.99,10.18
33,New Norfolk,75,AU,1563761512,54,-42.78,147.06,62.01,21.92
34,Roald,42,NO,1563761766,93,62.58,6.12,53.01,3.36
35,Cap Malheureux,20,MU,1563761768,88,-19.98,57.61,68.0,5.82
36,Villanueva de la Serena,0,ES,1563761772,46,38.97,-5.8,69.77,4.16
37,Saint George,0,GR,1563761773,68,39.45,22.34,77.0,3.36
38,Ushuaia,40,AR,1563761673,74,-54.81,-68.31,35.6,10.29
39,Bredasdorp,0,ZA,1563761776,86,-34.53,20.04,37.4,6.93
40,Hilo,20,US,1563761547,54,19.71,-155.08,84.2,13.87
41,Tuktoyaktuk,90,CA,1563761558,76,69.44,-133.03,53.6,8.05
42,Taloqan,0,AF,1563761779,12,36.74,69.54,93.17,1.86
43,Koumac,0,NC,1563761781,53,-20.56,164.28,69.41,9.19
44,Visconde do Rio Branco,44,BR,1563761782,99,-21.01,-42.84,60.01,1.01
45,Isangel,75,VU,1563761783,53,-19.55,169.27,75.2,9.17
46,Jasper,40,US,1563761785,78,33.83,-87.28,80.01,2.91
47,Sorong,100,ID,1563761786,92,-0.86,131.25,77.87,7.76
48,Yeppoon,90,AU,1563761787,47,-23.13,150.74,75.2,5.82
49,Swakopmund,0,NA,1563761590,93,-22.68,14.53,60.8,4.7
50,Severo-Kurilsk,100,RU,1563761664,97,50.68,156.12,45.47,17.0
51,Orekhovo-Zuevo,20,RU,1563761791,93,55.81,38.98,55.4,2.33
52,Biograd na Moru,0,HR,1563761793,100,43.94,15.45,73.0,10.8
53,Qaanaaq,93,GL,1563761794,87,77.48,-69.36,38.63,5.55
54,bhola,40,PK,1563761795,84,32.66,73.89,86.0,7.72
55,Jinchang,0,CN,1563761509,32,38.52,102.19,70.49,12.08
56,Yushu,71,CN,1563761798,74,44.84,126.53,82.19,7.58
57,Simao,100,CN,1563761799,66,22.76,100.79,77.15,2.21
58,Bluff,26,AU,1563761657,52,-23.58,149.07,71.93,5.82
59,Vardo,1,US,1563761802,88,39.62,-77.74,78.01,3.36
60,Ribeira Grande,40,PT,1563761803,86,38.52,-28.7,74.63,28.97
61,Kassala,99,SD,1563761804,70,15.45,36.38,78.05,12.77
62,Marawi,100,PH,1563761805,80,8.0,124.29,82.99,7.0
63,East London,0,ZA,1563761807,19,-33.02,27.91,51.95,4.18
64,Lebu,98,ET,1563761705,88,8.96,38.73,54.29,0.27
65,Coihaique,0,CL,1563761809,69,-45.58,-72.07,35.6,3.24
66,Mahebourg,20,MU,1563761523,88,-20.41,57.7,68.0,5.82
67,Vostok,96,RU,1563761811,63,46.45,135.83,75.53,5.95
68,Alice Springs,0,AU,1563761813,27,-23.7,133.88,64.4,5.82
69,Ban Phaeo,20,TH,1563761814,70,13.59,100.11,91.99,3.36
70,Codrington,0,AU,1563761815,56,-28.95,153.24,69.8,1.97
71,Donghai,97,CN,1563761816,55,34.52,118.76,91.73,7.7
72,Curup,77,ID,1563761818,87,-3.47,102.53,74.27,0.87
73,Upernavik,97,GL,1563761819,94,72.79,-56.15,43.13,8.05
74,Thompson,75,CA,1563761637,38,55.74,-97.86,77.0,6.93
75,Hofn,100,IS,1563761821,97,64.25,-15.21,39.71,10.29
76,Touba,1,SN,1563761823,71,14.86,-15.88,78.59,15.32
77,Avera,1,US,1563761824,66,33.19,-82.53,88.0,5.01
78,Kayerkan,0,RU,1563761825,43,69.35,87.76,71.6,6.71
79,Tevriz,1,RU,1563761826,59,57.51,72.4,66.71,6.17
80,Lorengau,98,PG,1563761828,74,-2.02,147.27,83.45,5.88
81,Dingli,0,IN,1563761829,44,28.39,75.51,95.87,9.35
82,Souillac,0,FR,1563761830,72,45.6,-0.6,68.0,3.36
83,Maloy,34,ID,1563761831,62,1.0,118.1,86.87,3.8
84,Nikolaevo,0,BG,1563761833,100,42.63,25.79,64.4,3.36
85,Walvis Bay,0,NA,1563761834,93,-22.95,14.51,60.8,4.7
86,Nieves,75,MX,1563761835,49,24.0,-103.02,67.25,1.88
87,Hithadhoo,0,MV,1563761836,76,-0.6,73.08,83.09,13.96
88,Praia da Vitoria,75,PT,1563761838,83,38.73,-27.07,75.2,28.27
89,Kaitangata,73,NZ,1563761839,92,-46.28,169.85,53.01,1.21
90,Alofi,100,NU,1563761840,78,-19.06,-169.92,77.0,13.87
91,Hualmay,41,PE,1563761842,86,-11.1,-77.61,62.39,11.12
92,Necochea,100,AR,1563761843,94,-38.55,-58.74,44.01,6.8
93,Stillwater,1,US,1563761642,55,36.12,-97.06,93.2,4.7
94,Nara,75,JP,1563761672,83,34.68,135.8,84.99,16.11
95,Kapaa,1,US,1563761640,62,22.08,-159.32,86.0,16.11
96,Piterka,100,RU,1563761848,66,50.68,47.44,69.41,4.41
97,Ponta do Sol,32,BR,1563761849,81,-20.63,-46.0,56.63,7.52
98,Bethel,90,US,1563761522,100,60.79,-161.76,60.8,6.93
99,Narsaq,88,GL,1563761851,75,60.91,-46.05,46.4,3.36
100,Constitucion,90,MX,1563761853,48,23.99,-104.67,66.2,2.24
101,Nikolskoye,0,RU,1563761854,87,59.7,30.79,53.6,1.63
102,Bhatkal,100,IN,1563761855,88,13.97,74.57,78.95,12.12
103,Singuilucan,100,MX,1563761856,87,19.97,-98.52,56.81,6.49
104,Lasa,0,CY,1563761857,73,34.92,32.53,75.2,9.17
105,Erdenet,100,MN,1563761859,92,49.03,104.04,56.99,4.56
106,Mezen,14,RU,1563761860,77,65.85,44.24,49.97,8.21
107,Huarmey,26,PE,1563761862,89,-10.07,-78.15,62.57,11.25
108,Esperance,75,AU,1563761880,93,-33.86,121.89,50.0,24.16
109,Ambilobe,37,MG,1563761881,88,-13.19,49.05,70.67,4.72
110,Lompoc,40,US,1563761883,82,34.64,-120.46,68.0,11.41
111,Lagoa,0,PT,1563761884,64,37.14,-8.45,75.0,6.93
112,Yar-Sale,99,RU,1563761560,65,66.83,70.83,66.53,12.19
113,Arraial do Cabo,5,BR,1563761576,79,-22.97,-42.02,69.41,25.37
114,College,1,US,1563761579,38,64.86,-147.8,77.0,10.29
115,Hobart,75,AU,1563761763,54,-42.88,147.33,63.0,21.92
116,Alice,0,ZA,1563761890,16,-32.79,26.83,52.13,10.2
117,Albany,1,US,1563761423,57,42.65,-73.75,79.0,6.2
118,Tuatapere,94,NZ,1563761892,97,-46.13,167.69,50.0,5.01
119,Richards Bay,0,ZA,1563761893,66,-28.77,32.06,62.21,29.95
120,Flinders,0,AU,1563761661,34,-34.58,150.85,66.99,6.93
121,Grindavik,40,IS,1563761896,93,63.84,-22.43,57.0,5.82
122,Waipawa,0,NZ,1563761897,76,-39.94,176.59,53.01,3.15
123,Salalah,90,OM,1563761899,94,17.01,54.1,78.8,5.82
124,Yellowknife,75,CA,1563761353,53,62.45,-114.38,73.4,11.41
125,Rio Cuarto,75,AR,1563761712,43,-33.13,-64.35,51.8,5.82
126,Shenjiamen,94,CN,1563761903,84,29.96,122.3,80.93,23.17
127,Kokopo,100,PG,1563761904,78,-4.34,152.27,81.65,1.34
128,Tignere,100,CM,1563761905,93,7.37,12.65,67.07,1.21
129,Airai,6,TL,1563761907,42,-8.93,125.41,81.83,4.41
130,Bilibino,100,RU,1563761911,56,68.06,166.44,45.83,16.31
131,Pangnirtung,99,CA,1563761913,86,66.15,-65.72,44.21,3.67
132,Kodiak,90,US,1563761914,94,39.95,-94.76,72.0,13.87
133,Viedma,0,AR,1563761915,67,-40.81,-62.99,45.65,9.24
134,Kargopol,0,RU,1563761917,86,61.51,38.95,52.85,3.27
135,Castro,75,CL,1563761918,86,-42.48,-73.76,39.2,4.7
136,Kuytun,100,RU,1563761919,63,54.34,101.51,70.13,1.23
137,Chapleau,20,CA,1563761921,51,47.85,-83.4,62.6,4.7
138,Piacabucu,2,BR,1563761925,85,-10.41,-36.43,73.01,13.69
139,Cape Town,0,ZA,1563761233,58,-33.93,18.42,54.0,5.82
140,Tarbagatay,40,RU,1563761928,73,51.48,107.36,69.8,6.71
141,Lieksa,100,FI,1563761929,71,63.32,30.02,59.15,1.79
142,Tasiilaq,0,GL,1563761930,66,65.61,-37.64,48.2,3.36
143,Kloulklubed,75,PW,1563761931,74,7.04,134.26,86.0,10.29
144,Dikson,100,RU,1563761933,98,73.51,80.55,35.57,14.0
145,Gazanjyk,0,TM,1563761934,16,39.24,55.52,92.09,21.09
146,Bathsheba,40,BB,1563761935,78,13.22,-59.52,80.6,14.99
147,Hovd,75,NO,1563761936,87,63.83,10.7,55.99,10.29
148,Chaplynka,21,UA,1563761938,46,46.36,33.54,71.03,3.15
149,Smoky Lake,88,CA,1563761939,69,54.11,-112.47,73.0,4.45
150,Carnarvon,0,ZA,1563761679,36,-30.97,22.13,42.59,13.8
151,Eenhana,0,NA,1563761942,16,-17.48,16.34,57.2,4.7
152,Kerchevskiy,59,RU,1563761947,86,59.95,56.29,61.31,3.98
153,Victoria,75,BN,1563761900,88,5.28,115.24,84.2,4.7
154,Fortuna,1,US,1563761949,77,40.6,-124.16,63.0,12.75
155,Kangaatsiaq,0,GL,1563761950,91,68.31,-53.46,43.67,8.39
156,Thurso,40,CA,1563761952,64,45.6,-75.25,71.6,3.36
157,Manacapuru,0,BR,1563761953,69,-3.3,-60.62,80.6,9.17
158,Prieska,0,ZA,1563761954,26,-29.67,22.74,49.97,17.54
159,Guaraniacu,24,BR,1563761955,78,-25.1,-52.88,63.29,12.39
160,Kalmunai,100,LK,1563761956,79,7.42,81.82,78.41,3.71
161,Launceston,90,AU,1563761958,81,-41.43,147.14,57.0,18.34
162,Luau,0,CD,1563761959,38,-10.7,22.23,54.29,2.53
163,Norman Wells,75,CA,1563761655,63,65.28,-126.83,66.2,4.7
164,Charters Towers,47,AU,1563761961,54,-20.07,146.27,74.09,10.18
165,Black River,20,JM,1563761966,83,18.03,-77.85,82.4,8.05
166,Brownwood,1,US,1563761967,33,31.71,-98.99,89.6,5.82
167,Chuy,100,UY,1563761676,89,-33.69,-53.46,65.27,13.94
168,Bandarbeyla,100,SO,1563761969,48,9.49,50.81,78.41,28.43
169,Ixtapa,75,MX,1563761974,100,20.71,-105.21,77.0,6.93
170,Namibe,32,AO,1563761975,83,-15.19,12.15,66.89,12.5
171,Rocha,100,UY,1563761976,86,-34.48,-54.34,67.43,16.15
172,Hamilton,40,CA,1563761451,53,43.26,-79.87,78.8,8.05
173,Hambantota,90,LK,1563761979,100,6.12,81.12,77.0,4.7
174,Mocuba,22,MZ,1563761980,98,-16.84,36.99,56.81,3.71
175,Tocopilla,84,CL,1563761981,83,-22.09,-70.2,57.89,7.36
176,Banepa,75,NP,1563761983,94,27.63,85.52,71.6,2.24
177,Nsawam,75,GH,1563761984,94,5.81,-0.35,77.0,11.41
178,Chapais,20,CA,1563761986,62,49.78,-74.86,55.4,4.7
179,Bakchar,33,RU,1563761987,63,57.02,82.07,60.59,5.77
180,Borba,88,BR,1563761988,65,-4.39,-59.59,79.31,2.93
181,Mar del Plata,0,AR,1563761990,71,-46.43,-67.52,33.59,12.08
182,Laguna,75,BZ,1563761994,88,16.17,-88.94,80.6,3.47
183,Pisco,90,PE,1563761996,77,-13.71,-76.2,62.6,9.17
184,Deming,1,US,1563761909,13,32.27,-107.76,96.8,10.29
185,San Jeronimo,10,PE,1563761998,96,-13.65,-73.37,44.39,0.56
186,Moose Factory,90,CA,1563761858,67,51.26,-80.61,60.8,5.82
187,Verkhovazhye,58,RU,1563761947,84,60.75,42.05,53.39,6.6
188,Hearst,96,CA,1563762002,51,49.69,-83.67,59.69,4.99
189,Saskylakh,9,RU,1563762003,38,71.97,114.09,74.99,12.71
190,Kirakira,100,SB,1563762004,76,-10.46,161.92,82.55,12.57
191,Faanui,0,PF,1563762006,80,-16.48,-151.75,78.59,19.53
192,Kristinehamn,20,SE,1563762007,100,59.31,14.11,61.0,4.7
193,Ahipara,65,NZ,1563762008,94,-35.17,173.16,64.99,13.98
194,Inhambane,86,MZ,1563762009,76,-23.87,35.38,55.01,2.98
195,Muros,75,ES,1563762011,100,42.77,-9.06,68.0,6.93
196,Shubarshi,10,KZ,1563762012,41,48.59,57.19,75.89,1.19
197,Waddan,0,LY,1563762013,78,29.16,16.14,67.97,7.58
198,Hasaki,75,JP,1563762014,94,35.73,140.83,73.4,6.93
199,Homer,75,US,1563762016,82,59.64,-151.54,73.99,9.17
200,Pokhara,52,NP,1563761728,79,28.21,83.99,64.37,3.15
201,Provideniya,90,RU,1563761680,100,64.42,-173.23,50.0,15.66
202,Almaznyy,0,RU,1563762019,88,48.03,40.04,66.2,7.56
203,Sangar,0,RU,1563762021,29,63.92,127.47,76.61,6.96
204,Murgab,0,TM,1563761794,37,37.5,61.97,82.4,9.17
205,Mosquera,75,CO,1563762023,72,4.71,-74.23,59.0,5.82
206,Sobolevo,65,RU,1563762024,86,54.43,31.9,57.35,5.01
207,Muheza,2,TZ,1563762026,92,-5.18,38.79,58.97,2.28
208,Juneau,40,US,1563762027,68,58.3,-134.42,66.2,9.17
209,Cayenne,100,GF,1563762028,100,4.94,-52.33,75.2,3.47
210,Port-Gentil,100,GA,1563762030,84,-0.72,8.78,75.89,15.75
211,Kruisfontein,0,ZA,1563761651,30,-34.0,24.73,51.59,12.75
212,Luderitz,0,NA,1563762032,65,-26.65,15.16,57.71,5.82
213,Kavieng,24,PG,1563762033,68,-2.57,150.8,83.81,5.55
214,Malanje,0,AO,1563762035,92,-9.54,16.35,54.83,2.68
215,Madimba,40,CM,1563762039,100,4.42,9.93,75.2,2.24
216,Padang,12,ID,1563762040,78,-0.92,100.36,80.75,6.35
217,Smithers,75,CA,1563762041,87,54.78,-127.17,57.2,8.05
218,Naze,85,NG,1563762043,98,5.43,7.07,72.29,4.23
219,Malibu,75,MX,1563762044,69,16.77,-93.16,80.6,11.41
220,Samarai,99,PG,1563762045,92,-10.62,150.67,74.99,7.94
221,Zacualtipan,100,MX,1563761789,95,20.65,-98.6,60.95,4.21
222,Cabo San Lucas,20,MX,1563761570,74,22.89,-109.91,84.0,5.82
223,Upata,100,VE,1563762049,88,8.02,-62.41,77.0,1.99
224,Saint-Joseph,0,FR,1563762050,88,43.56,6.97,75.0,4.7
225,Thaton,100,MM,1563762051,86,16.91,97.37,80.21,16.17
226,Prince Rupert,75,CA,1563762053,82,54.32,-130.32,62.6,3.36
227,Bambanglipuro,90,ID,1563762054,81,-7.95,110.28,76.07,14.07
228,Aswan,0,EG,1563762055,28,24.09,32.9,86.0,13.87
229,Trincomalee,100,LK,1563762056,68,8.58,81.23,81.29,9.46
230,Tadine,70,NC,1563762058,64,-21.55,167.88,68.51,17.43
231,Krasnokamensk,6,RU,1563762059,55,50.1,118.04,71.39,12.8
232,Butaritari,21,KI,1563761645,69,3.07,172.79,84.89,8.55
233,Surt,0,LY,1563761763,74,31.21,16.59,77.51,10.78
234,Villeta,0,PY,1563762062,50,-25.51,-57.57,77.0,17.22
235,Camopi,66,GF,1563762064,99,3.17,-52.33,69.77,1.97
236,Eagle Pass,1,MX,1563761942,36,28.71,-100.5,96.8,10.29
237,Bilma,0,NE,1563762066,40,18.69,12.92,85.43,11.03
238,Mae Tha,75,TH,1563762067,78,18.46,99.14,88.0,4.7
239,Bubaque,61,GW,1563762069,84,11.28,-15.83,79.67,13.98
240,Mount Gambier,64,AU,1563762071,62,-37.83,140.78,57.2,20.8
241,Ereymentau,100,KZ,1563762072,61,51.62,73.1,71.93,3.24
242,Barbastro,0,ES,1563762073,44,42.04,0.13,75.2,6.93
243,Chokurdakh,100,RU,1563762074,83,70.62,147.9,39.17,16.78
244,Kalemie,0,CD,1563762075,52,-5.95,29.2,61.31,3.36
245,Darovskoy,68,RU,1563762077,97,58.77,47.96,54.11,7.09
246,Tacna,90,PE,1563762078,82,-18.01,-70.25,60.8,6.93
247,Rio Gallegos,40,AR,1563762079,80,-51.62,-69.22,33.8,11.41
248,Klaksvik,100,FO,1563762080,93,62.23,-6.59,53.6,14.99
249,Port Shepstone,0,ZA,1563762082,18,-30.74,30.45,47.81,6.13
250,Beya,2,RU,1563762083,65,53.05,90.92,64.91,2.82
251,Sainte-Maxime,0,FR,1563762084,88,43.31,6.64,75.0,4.7
252,Bardsir,75,IR,1563762086,14,29.93,56.57,80.6,9.17
253,Xam Nua,100,LA,1563762087,54,20.42,104.04,82.37,4.63
254,Georgetown,40,GY,1563761871,78,6.8,-58.16,82.4,11.41
255,Longyearbyen,75,NO,1563762089,81,78.22,15.63,44.6,18.34
256,Kuvandyk,13,RU,1563762090,68,51.48,57.35,67.43,3.36
257,Shwebo,100,MM,1563762092,81,22.57,95.7,80.57,11.12
258,Takapau,0,NZ,1563762093,76,-40.02,176.35,53.01,2.64
259,Rypefjord,0,NO,1563762094,68,70.63,23.67,66.2,11.41
260,Turbat,12,PK,1563762095,69,26.0,63.05,81.11,0.78
261,Letterkenny,100,IE,1563762097,96,54.95,-7.73,61.13,12.64
262,Muisne,93,EC,1563762098,88,0.61,-80.02,73.73,18.5
263,Chepareria,91,KE,1563762099,73,1.32,35.2,66.35,2.15
264,Asyut,0,EG,1563762100,50,27.18,31.19,78.8,8.05
265,Yulara,0,AU,1563762102,29,-25.24,130.99,62.6,8.05
266,Yellandu,0,IN,1563762103,76,17.59,80.32,83.63,8.95
267,Saint-Francois,0,FR,1563762104,68,46.42,3.91,66.2,1.7
268,Tura,100,RU,1563762106,37,64.27,100.22,69.77,15.12
269,Hammonton,1,US,1563762110,62,39.64,-74.8,90.0,5.82
270,Hervey Bay,75,AU,1563762111,49,-25.3,152.85,78.01,5.82
271,Urusha,100,RU,1563762113,97,54.05,122.9,58.79,6.78
272,Salta,0,AR,1563762032,50,-24.79,-65.41,57.2,3.36
273,Tagusao,77,PH,1563762116,71,9.19,117.81,83.27,5.19
274,Burnie,84,AU,1563762117,70,-41.05,145.91,54.29,11.74
275,Churapcha,0,RU,1563762119,30,62.0,132.43,76.79,3.58
276,Coro,0,VE,1563762129,80,11.41,-69.67,78.77,24.38
277,Mehran,75,IR,1563762130,24,33.12,46.17,78.8,6.93
278,Ustka,6,PL,1563762132,84,54.58,16.86,62.39,14.92
279,Miramar,0,CR,1563762058,73,10.09,-84.73,75.2,9.17
280,Yakeshi,51,CN,1563762134,73,49.28,120.73,66.17,13.6
281,Teguise,90,ES,1563762135,78,29.06,-13.56,71.6,13.87
282,Nizhniy Tsasuchey,1,RU,1563762137,50,50.52,115.13,72.29,11.77
