,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
283,Torzhok,0,RU,1563762138,92,57.04,34.97,55.91,2.19
284,Luena,0,AO,1563762139,36,-11.78,19.91,47.81,2.28
285,Ilulissat,40,GL,1563762141,87,69.22,-51.1,46.4,2.24
286,Husavik,0,CA,1563762142,53,50.56,-96.99,66.0,5.99
287,Cidreira,56,BR,1563762144,83,-30.17,-50.22,63.11,7.18
288,Evensk,97,RU,1563762148,60,61.92,159.24,57.89,6.11
289,Wattegama,100,LK,1563762149,95,7.35,80.68,72.65,5.3
290,Hokitika,49,NZ,1563762151,76,-42.72,170.96,55.01,9.51
291,Mogadishu,19,SO,1563761900,77,2.04,45.34,74.09,14.41
292,Iqaluit,90,CA,1563762156,93,63.75,-68.52,42.8,10.29
293,Jamai,0,IN,1563762160,60,22.2,78.55,84.53,4.83
294,Chagoda,0,RU,1563762003,77,59.16,35.33,55.37,2.04
295,Bulawayo,77,ZW,1563762163,86,-20.16,28.59,44.93,8.97
296,Gibara,20,CU,1563762164,83,21.11,-76.13,80.6,8.05
297,Coalinga,75,US,1563762165,30,36.14,-120.36,96.8,5.82
298,Saint-Philippe,1,CA,1563761574,61,45.36,-73.48,77.0,2.04
299,Tacuarembo,18,UY,1563762168,82,-31.73,-55.98,65.99,13.82
300,Antofagasta,90,CL,1563762169,67,-23.65,-70.4,57.2,11.41
301,Guerrero Negro,0,MX,1563762170,88,27.97,-114.04,66.89,14.7
302,Quime,0,BO,1563762172,72,-16.98,-67.22,36.65,1.77
303,Novyy Nekouz,0,RU,1563762173,91,57.91,38.06,55.19,3.69
304,Port Lincoln,100,AU,1563762174,88,-34.72,135.86,56.63,31.59
305,Haljala,0,EE,1563762175,68,59.43,26.27,58.97,6.02
306,Marsa Matruh,0,EG,1563762177,78,31.35,27.25,75.2,5.82
307,Navalmoral de la Mata,0,ES,1563761884,39,39.89,-5.54,80.01,4.65
308,Sandominic,0,RO,1563762179,73,46.58,25.78,63.0,2.91
309,Manyana,0,AU,1563762180,34,-35.26,150.51,66.99,6.93
310,Huntsville,75,US,1563762133,78,34.73,-86.59,81.0,3.36
311,Ostrovnoy,24,RU,1563762183,66,68.05,39.51,56.45,3.09
312,Kargasok,98,RU,1563762184,52,59.06,80.87,65.27,4.03
313,Uarini,27,BR,1563762185,76,-2.98,-65.16,76.25,2.19
314,Khatanga,0,RU,1563762187,28,71.98,102.47,80.39,5.86
315,Labuhan,0,ID,1563762188,43,-2.54,115.51,87.95,2.84
316,Waitati,34,NZ,1563762189,90,-45.75,170.57,50.0,7.0
317,Srednekolymsk,100,RU,1563762191,91,67.46,153.71,38.99,10.56
318,Vangaindrano,0,MG,1563762192,80,-23.35,47.6,50.69,3.24
319,Kudahuvadhoo,100,MV,1563762193,78,2.67,72.89,82.73,14.05
320,Myitkyina,100,MM,1563762194,99,25.38,97.4,73.73,1.5
321,Kununurra,45,AU,1563762196,45,-15.77,128.74,82.4,5.82
322,Nurota,0,UZ,1563762197,22,40.56,65.69,86.0,11.41
323,Port Elizabeth,1,US,1563762102,83,39.31,-74.98,89.6,4.7
324,Meulaboh,88,ID,1563762199,70,4.14,96.13,80.39,6.62
325,Lima,90,PE,1563761941,87,-12.06,-77.04,60.8,10.29
326,Leningradskiy,100,RU,1563762202,98,69.38,178.42,36.29,14.92
327,Hohhot,40,CN,1563762203,88,40.81,111.65,68.0,2.24
328,Vihari,0,PK,1563762204,40,30.03,72.35,98.21,6.53
329,Brewster,20,US,1563762205,88,41.76,-70.08,84.2,11.43
330,Sokoto,100,NG,1563762207,64,13.06,5.24,81.29,10.31
331,Los Llanos de Aridane,90,ES,1563762208,73,28.66,-17.92,71.6,14.99
332,Sivaki,100,RU,1563762209,98,52.63,126.75,64.37,10.83
333,Pundaguitan,100,PH,1563762210,73,6.37,126.17,83.09,10.07
334,Mehamn,66,NO,1563762211,69,71.03,27.85,62.39,14.14
335,Skjervoy,83,NO,1563762213,72,70.03,20.97,58.61,5.73
336,Kroya,36,ID,1563762214,44,-6.5,108.06,88.85,6.08
337,Astaneh-ye Ashrafiyeh,40,IR,1563762218,88,37.26,49.94,73.4,3.85
338,Opatija,7,HR,1563762220,88,45.33,14.3,79.0,4.7
339,Hanmer Springs,21,NZ,1563762221,80,-42.52,172.83,45.83,3.51
340,Erzin,0,TR,1563762225,57,36.95,36.2,81.0,9.17
341,Yamada,75,JP,1563762226,88,36.58,137.08,82.4,4.7
342,Garissa,78,KE,1563762228,69,-0.46,39.64,71.39,15.05
343,Seoul,90,KR,1563762032,78,37.57,126.98,82.4,4.7
344,Buraydah,0,SA,1563762230,29,26.33,43.97,78.8,5.82
345,Korgen,100,NO,1563762231,76,66.08,13.83,60.01,3.36
346,Boden,83,SE,1563762232,82,65.83,21.69,59.0,2.46
347,Stephenville,90,CA,1563762234,88,48.55,-58.59,62.6,5.82
348,Komsomolskiy,100,RU,1563762236,69,67.55,63.78,58.61,14.36
349,Atasu,0,KZ,1563762237,63,48.68,71.64,71.93,21.0
350,Baruun-Urt,100,MN,1563762239,60,46.68,113.28,74.09,15.23
351,Tanakpur,0,IN,1563762240,61,29.07,80.11,89.03,3.2
352,Mount Isa,0,AU,1563762118,13,-20.73,139.49,78.8,8.05
353,Tete,40,MZ,1563762242,77,-16.16,33.59,64.4,9.17
354,Adrar,0,DZ,1563762247,16,27.87,-0.29,96.8,18.34
355,Malpe,75,IN,1563762248,94,13.35,74.72,73.4,4.7
356,Mtwara,20,TZ,1563762249,77,-10.28,40.18,68.0,18.34
357,Pacific Grove,20,US,1563762125,68,36.62,-121.92,75.99,6.93
358,Cherskiy,100,RU,1563762252,95,68.75,161.3,35.93,13.8
359,Aurillac,0,FR,1563762253,93,44.93,2.44,70.0,2.24
360,Oxbow,40,CA,1563762254,60,49.23,-102.17,71.6,6.93
361,Dzhebariki-Khaya,0,RU,1563762255,35,62.22,135.8,71.21,7.14
362,San Luis de Palenque,11,CO,1563762257,92,5.42,-71.73,72.65,2.53
363,Marsh Harbour,100,BS,1563762261,73,26.54,-77.06,84.35,11.12
364,Kuching,75,MY,1563762263,94,1.56,110.34,78.8,3.36
365,San Patricio,9,PY,1563762267,65,-26.98,-56.83,72.11,12.08
366,Marovoay,0,MG,1563762268,68,-16.11,46.64,68.0,8.05
367,Coquimbo,0,CL,1563762270,93,-29.95,-71.34,50.0,8.05
368,Otsuki,90,JP,1563762271,100,35.64,138.92,75.99,4.7
369,Linhares,100,BR,1563762274,96,-19.38,-40.06,63.47,2.3
370,Chinsali,0,ZM,1563762275,58,-10.55,32.07,55.19,12.44
371,Presidencia Roque Saenz Pena,3,AR,1563762276,52,-26.79,-60.44,78.23,11.56
372,Dunmore Town,10,BS,1563762278,75,25.5,-76.65,84.17,15.32
373,Lae,40,PG,1563762279,58,-6.72,146.98,84.2,11.41
374,Mpongwe,0,ZM,1563762281,75,-13.51,28.16,50.87,7.36
375,Boyolangu,20,ID,1563762283,62,-8.09,111.9,78.95,6.87
376,Hat Yai,40,TH,1563762293,88,7.0,100.46,86.0,1.83
377,Camacari,40,BR,1563762298,78,-12.7,-38.32,77.0,12.75
378,Auki,100,NG,1563762302,84,12.18,6.51,74.09,14.14
379,San Cristobal,24,HN,1563762303,80,14.68,-86.92,67.97,6.2
380,Vilhena,98,BR,1563762304,56,-12.74,-60.15,72.29,2.86
381,Kungurtug,0,RU,1563762306,39,50.6,97.53,68.51,4.07
382,Varca,75,IN,1563762307,94,15.22,73.92,78.8,6.93
383,Adre,94,TD,1563762308,70,13.47,22.2,73.19,9.48
384,Marathon,0,CA,1563762309,56,48.72,-86.38,56.09,5.93
385,Kilindoni,0,TZ,1563762311,71,-7.91,39.67,76.79,28.39
386,Apatou,88,SR,1563762312,99,5.16,-54.34,71.75,2.08
387,Sao Joao da Barra,0,BR,1563762313,94,-21.64,-41.05,63.11,4.21
388,Ciudad Bolivar,59,VE,1563762314,76,8.12,-63.55,78.95,8.88
389,Port Moresby,40,PG,1563762316,74,-9.47,147.16,82.4,11.41
390,Touros,40,BR,1563762127,100,-5.2,-35.46,71.6,3.36
391,Wanaka,33,NZ,1563762318,69,-44.7,169.14,55.0,1.01
392,Talnakh,0,RU,1563762319,38,69.49,88.39,73.4,6.71
393,Trairi,0,BR,1563762321,88,-3.28,-39.27,70.31,4.18
394,Abha,0,SA,1563762322,20,18.22,42.5,71.6,3.27
395,Fort-Shevchenko,88,KZ,1563762324,49,44.51,50.26,84.53,18.66
396,Coracora,6,PE,1563762325,50,-15.02,-73.78,44.75,1.59
397,Kandi,18,BJ,1563762326,88,11.13,2.93,74.09,5.32
398,Ocampo,59,MX,1563762327,45,27.32,-102.4,76.97,10.29
399,Praya,40,ID,1563762329,69,-8.71,116.27,78.8,12.75
400,Te Anau,100,NZ,1563762330,76,-45.41,167.72,49.43,3.29
401,Salinopolis,8,BR,1563762331,80,-0.61,-47.36,80.75,15.95
402,Sinop,19,TR,1563762336,62,42.03,35.15,72.47,14.81
403,Concordia,100,AR,1563762337,55,-31.4,-58.02,75.99,11.01
404,Blackwater,70,GB,1563762149,82,51.33,-0.78,64.0,11.41
405,Belaya Gora,100,RU,1563762339,90,68.54,146.19,40.07,19.22
406,Sal Rei,40,CV,1563762344,88,16.18,-22.92,75.2,5.82
407,Preobrazheniye,100,RU,1563762345,99,42.9,133.91,65.09,3.89
408,Koupela,100,BF,1563762346,72,12.18,-0.35,78.59,10.87
409,Dalvik,0,SE,1563762348,87,57.79,14.13,57.2,9.17
410,Altar,33,MX,1563762349,60,30.72,-111.84,86.0,8.99
411,Saint-Ambroise,75,CA,1563762350,82,48.56,-71.32,66.0,6.93
412,San Miguel,0,AR,1563762351,50,-34.54,-58.72,57.2,11.41
413,Cockburn Town,0,TC,1563762353,79,21.46,-71.14,82.91,19.77
414,Aklavik,90,CA,1563762354,67,68.22,-135.01,62.6,3.36
415,Haifa,20,IL,1563762355,74,32.82,35.0,80.6,3.36
416,Pandan,78,PH,1563762356,70,11.72,122.09,84.53,6.71
417,Egvekinot,100,RU,1563762358,96,66.32,-179.17,43.13,14.47
418,Skibbereen,90,IE,1563762359,100,51.55,-9.27,62.6,12.75
419,Severodvinsk,0,RU,1563762360,87,64.56,39.82,48.2,4.25
420,Nanortalik,93,GL,1563762362,94,60.14,-45.24,38.45,0.45
421,Agadez,1,NE,1563762363,83,16.97,7.99,77.0,6.4
422,Lichuan,100,CN,1563762368,59,30.3,108.94,86.87,3.13
423,Toamasina,75,MG,1563762370,88,-18.17,49.38,69.8,11.41
424,Abbotsford,1,CA,1563762332,37,49.05,-122.33,87.8,5.82
425,Kavaratti,99,IN,1563762372,76,10.57,72.64,82.55,23.35
426,General Roca,0,AR,1563762373,56,-39.03,-67.58,44.6,5.82
427,Lavrentiya,58,RU,1563762375,80,65.58,-170.99,52.31,15.57
428,Kendari,4,ID,1563762376,51,-3.99,122.52,83.81,3.89
429,Mangan,100,IN,1563762377,92,27.5,88.54,60.95,3.22
430,Tabuk,100,PH,1563762378,75,17.41,121.44,77.51,3.24
431,Jiangyou,100,CN,1563762380,98,31.78,104.73,66.53,2.84
432,Kieta,100,PG,1563762381,92,-6.22,155.63,77.87,17.25
433,Kazerun,0,IR,1563762382,14,29.62,51.65,89.57,4.47
434,Geraldton,20,CA,1563762384,58,49.72,-86.95,59.0,6.93
435,Pavelets,0,RU,1563762385,96,53.79,39.25,54.0,2.86
436,Nouadhibou,0,MR,1563762162,83,20.93,-17.03,69.8,16.11
437,Svetlogorsk,20,RU,1563762387,68,53.14,59.15,66.2,6.71
438,Makakilo City,40,US,1563762389,51,21.35,-158.09,87.8,14.99
439,Lensk,0,RU,1563762390,34,60.71,114.91,72.65,11.65
440,Hami,100,CN,1563762391,24,42.84,93.51,80.03,4.32
441,Beyneu,67,KZ,1563762392,21,45.32,55.19,85.79,12.77
442,Porto Novo,0,BR,1563762394,82,-23.68,-45.44,60.8,4.7
443,Sarany,100,RU,1563762395,93,58.55,58.76,59.69,3.18
444,Banda Aceh,87,ID,1563762303,69,5.56,95.32,83.81,14.16
445,Beringovskiy,100,RU,1563762397,85,63.05,179.32,48.71,11.83
446,Beira,75,ES,1563762399,100,43.2,-8.36,68.0,6.93
447,Chau Doc,95,VN,1563762400,63,10.71,105.12,87.77,5.28
448,Zhigansk,0,RU,1563762401,30,66.77,123.37,65.09,16.89
449,Biak,0,ID,1563762403,66,-0.91,122.88,72.65,5.64
450,Tecoanapa,90,MX,1563762404,74,16.99,-99.26,86.0,11.41
451,Mackay,20,CA,1563762111,50,53.65,-115.58,75.2,17.22
452,Tias,90,ES,1563762406,78,28.96,-13.65,71.6,14.99
453,San-Pedro,87,CI,1563762408,96,4.75,-6.64,71.93,3.62
454,Bichura,100,RU,1563762409,63,50.59,107.6,69.77,8.14
455,Jacareacanga,4,BR,1563762410,59,-6.22,-57.76,75.89,1.9
456,Kahului,40,US,1563762411,62,20.89,-156.47,86.0,24.16
457,Bereznik,48,RU,1563762413,79,62.86,42.71,54.11,5.61
458,Adaufe,0,PT,1563762417,100,40.89,-8.24,66.99,4.7
459,Mana,100,NG,1563762418,64,13.03,5.27,81.29,10.31
460,Vila Velha,20,BR,1563762423,69,-3.71,-38.6,80.6,9.17
461,Samarinda,92,ID,1563762427,76,-0.5,117.14,81.29,3.98
462,Ugoofaaru,100,MV,1563762428,79,5.67,73.0,82.55,16.44
463,Sabzevar,0,IR,1563762429,28,36.21,57.68,81.11,2.93
464,Elizabethton,75,US,1563762431,88,36.35,-82.21,78.01,3.06
465,Balikpapan,93,ID,1563762432,75,-1.24,116.86,78.59,3.67
466,Canico,20,PT,1563762433,68,32.63,-16.85,69.8,13.87
467,Santa Rosa,78,AR,1563762434,30,-36.62,-64.29,49.97,11.61
468,Yarmouth,5,CA,1563762436,100,43.84,-66.12,64.0,6.93
469,Araouane,78,ML,1563762437,34,18.9,-3.53,94.43,9.82
470,Imbituba,40,BR,1563762438,88,-28.24,-48.67,66.2,11.41
471,Nome,1,US,1563762177,83,30.04,-94.42,84.0,4.7
472,Sitka,2,US,1563762441,60,37.17,-99.65,82.0,1.01
473,Synya,100,RU,1563762442,95,65.37,58.04,53.93,9.66
474,Krasnoarmeysk,0,RU,1563762443,93,56.12,38.15,62.01,4.47
475,Sola,24,TZ,1563762445,62,-3.17,33.8,65.63,11.07
476,Pedernales,75,EC,1563762446,89,0.07,-80.05,72.65,19.6
477,Roebourne,0,AU,1563762447,13,-20.77,117.15,77.87,17.18
478,Fare,3,PF,1563762449,80,-16.7,-151.02,77.87,19.46
479,Sisimiut,62,GL,1563762450,95,66.94,-53.67,42.59,4.56
480,Grand-Santi,100,GF,1563762451,99,4.27,-54.38,71.57,1.48
481,Zhanaozen,19,KZ,1563762453,22,43.35,52.85,87.59,19.33
482,Suhbaatar,100,MN,1563762454,83,50.23,106.21,62.57,4.34
483,Luanda,100,AO,1563762455,94,-8.83,13.24,68.0,2.24
484,Taltal,100,CL,1563762456,87,-25.41,-70.49,50.69,1.52
485,Turukhansk,67,RU,1563762458,41,65.8,87.96,73.73,5.17
486,Semme,0,FR,1563762467,56,46.2,1.5,68.0,2.24
487,Sao Miguel do Araguaia,48,BR,1563762468,54,-13.28,-50.16,68.69,3.83
488,Port Hardy,20,CA,1563762472,60,50.7,-127.42,68.0,11.41
489,Vincennes,0,FR,1563762474,72,48.85,2.44,64.4,3.36
490,Casas Grandes,69,MX,1563762475,77,30.15,-110.24,71.39,15.46
491,Bogorodskoye,100,RU,1563762476,86,52.37,140.44,63.83,4.14
492,Jardim,0,BR,1563762477,37,-21.48,-56.15,73.55,14.16
493,Langsa,57,ID,1563762479,56,4.47,97.97,82.01,2.8
494,Margate,75,AU,1563762480,54,-43.03,147.26,63.0,20.8
495,Patacamaya,24,BO,1563762481,39,-17.23,-67.92,42.59,9.57
496,Dalbandin,79,PK,1563762483,47,28.9,64.41,84.71,3.56
497,Buala,100,SB,1563762484,73,-8.15,159.59,82.55,12.21
498,Cabra,0,ES,1563762485,61,37.47,-4.43,78.8,5.82
499,Sawtell,0,AU,1563762275,35,-30.38,153.1,73.4,4.7
500,Enfield,75,IE,1563762438,88,53.41,-6.83,68.0,19.46
501,Arinos,23,BR,1563762492,75,-15.92,-46.11,59.33,3.49
502,Kiama,0,AU,1563762493,32,-34.67,150.86,68.0,4.7
503,Aleksandrov Gay,100,RU,1563762494,58,50.14,48.57,73.37,3.91
504,Zyryanka,96,RU,1563762496,70,65.73,150.89,42.77,25.59
505,Sampit,33,ID,1563762497,57,-2.54,112.95,86.87,4.76
506,Iaciara,4,BR,1563762498,63,-14.1,-46.63,64.19,2.35
507,Leshukonskoye,78,RU,1563762499,82,64.9,45.76,52.13,6.85
508,Arlit,41,NE,1563762501,27,18.74,7.39,93.53,1.07
509,Shellbrook,20,CA,1563762502,68,53.22,-106.39,71.6,5.82
510,Nikolayevsk-na-amure,100,RU,1563762503,99,53.14,140.72,53.03,3.06
511,Horadiz,75,AZ,1563762505,94,39.45,47.33,71.6,2.24
512,Falam,100,MM,1563762506,97,22.91,93.68,67.43,1.07
513,Itoman,75,JP,1563762507,70,26.12,127.67,87.8,11.41
514,Aguimes,75,ES,1563762508,68,27.91,-15.45,71.6,26.4
515,Chubbuck,1,US,1563762510,14,42.93,-112.47,89.6,3.36
516,Yicheng,100,CN,1563762514,59,31.71,112.27,92.45,6.17
517,Srandakan,90,ID,1563762515,81,-7.94,110.25,76.07,14.07
518,Lotofaga,4,WS,1563762517,94,-13.98,-171.86,77.0,3.0
519,Viru,0,EE,1563762518,87,57.74,26.74,57.99,2.24
520,Sao Jose da Coroa Grande,38,BR,1563762519,96,-8.9,-35.15,68.87,4.65
521,Vanimo,99,PG,1563762521,71,-2.67,141.3,82.91,4.5
522,Talara,0,PE,1563762522,90,-4.58,-81.27,64.73,16.78
523,Broome,99,GB,1563762523,82,52.47,1.45,63.0,10.29
524,Acari,0,BR,1563762524,73,-6.44,-36.64,71.21,14.14
525,Ancud,40,CL,1563762526,100,-41.87,-73.83,35.6,4.7
526,Lakatoro,41,VU,1563762527,64,-16.11,167.42,75.35,8.86
527,Nienburg,0,DE,1563762528,82,51.84,11.77,61.0,4.7
528,San Quintin,100,PH,1563762529,72,17.54,120.52,85.25,5.95
529,Mitu,0,IR,1563762531,28,36.2,46.09,71.39,0.63
530,San Carlos de Bariloche,75,AR,1563762533,86,-41.13,-71.31,33.8,9.17
531,Winnemucca,1,US,1563762534,14,40.97,-117.74,93.2,5.82
532,Demidov,21,RU,1563762543,90,55.27,31.52,56.81,2.86
533,Biltine,83,TD,1563762547,51,14.53,20.93,79.85,4.83
534,Senanga,0,ZM,1563762549,25,-16.1,23.3,47.81,5.12
535,Karwar,94,IN,1563762550,87,14.8,74.13,79.13,10.18
536,Guerrero,0,AR,1563762551,62,-24.19,-65.45,53.6,6.93
537,Lata,0,IN,1563762552,73,30.78,78.62,50.15,5.23
538,Kirovskiy,100,RU,1563762554,73,45.09,133.51,78.05,13.67
539,Gazli,0,UZ,1563762555,19,40.13,63.45,86.33,18.37
540,Dingle,9,PH,1563762556,70,11.0,122.67,85.61,4.36
541,Demirci,0,TR,1563762557,55,39.05,28.66,59.51,8.99
542,La Ronge,5,CA,1563762559,49,55.1,-105.3,73.4,3.36
543,Micheweni,31,TZ,1563762560,72,-4.97,39.83,78.41,24.16
544,Novoagansk,0,RU,1563762561,37,61.94,76.66,72.29,5.14
545,Kaka,0,TM,1563762562,18,37.35,59.62,90.11,6.58
546,Temir,0,KZ,1563762564,46,49.14,57.13,74.09,6.02
547,Grenfell,0,AU,1563762565,59,-33.9,148.16,62.21,8.93
548,Brae,100,GB,1563762566,93,60.4,-1.35,57.2,18.34
549,Waingapu,99,ID,1563762567,54,-9.65,120.26,81.29,14.2
550,Valparaiso,75,US,1563762501,73,41.47,-87.06,73.99,4.7
551,Staryy Nadym,100,RU,1563762570,71,65.61,72.68,65.81,7.87
552,Aksu,75,KZ,1563762496,83,52.04,76.93,69.8,6.71
553,Novyy Yarychiv,75,UA,1563762573,100,49.9,24.31,62.6,6.71
554,Puerto Quijarro,100,BO,1563762574,38,-19.0,-57.72,81.47,10.36
555,Shingu,75,JP,1563762576,88,33.72,135.99,80.6,9.17
556,Yekaterinogradskaya,90,RU,1563762577,83,43.76,44.23,69.8,2.24
557,Sibolga,92,ID,1563762578,78,1.74,98.78,80.03,6.46
558,Canutama,27,BR,1563762580,69,-6.53,-64.38,75.71,1.39
559,Tucupita,100,VE,1563762581,94,9.06,-62.05,74.63,4.05
560,Noumea,75,NC,1563762590,53,-22.28,166.46,71.6,17.22
561,San Francisco,91,CO,1563762591,97,1.17,-76.88,47.99,3.0
562,Paamiut,18,GL,1563762592,93,61.99,-49.67,41.33,16.49
563,Crotone,0,IT,1563762594,49,39.09,17.12,72.29,3.65
564,Qandala,62,SO,1563762595,50,11.47,49.87,89.39,25.1
